GEOID,totp,medincome,pmale,pwhite,pblk,pasn,phisp,poor,punemp,pcol,p65old,NAME,lifeexp,popd,parks,envind,costb,hins
6067008513,2130,136719,0.4990610328638498,0.652112676056338,0,0.20892018779342722,0.054460093896713614,Low,0.04922779922779923,0.6041512231282431,0.03896713615023474,Folsom,78.71533333333333,2152.38,2,39,0.268,0.0339
6067008600,6989,97354,0.4685935040778366,0.847045356989555,0.03848905422807269,0.03190728287308628,0.03848905422807269,Low,0.053564965617082884,0.5030291186241939,0.19659464873372443,Other,82.7,55.11,2,63,0.235,0.0509
6067008702,3331,131908,0.47613329330531373,0.7874512158510958,0.012308616031221855,0.11347943560492345,0.04353047132993095,Low,0.08831521739130435,0.6565697912402784,0.18252776943860702,Other,83.9,2614.49,7,35,0.19,0.0673
6067008703,5733,81646,0.4934589220303506,0.6213151927437641,0.019012733298447583,0.2515262515262515,0.0706436420722135,Low,0.07959022852639874,0.4943820224719101,0.1494854351997209,Other,80.7,2331.47,6,37,0.221,0.0839
6067008704,3142,93150,0.5206874602164226,0.3297262889879058,0.050922978994271166,0.4945894334818587,0.09134309357097391,Low,0.055593685655456415,0.5089789635710621,0.0426479949077021,Rancho Cordova,81.2,3895.21,3,37,0.289,0.08689999999999999
6067008705,3116,94402,0.4910141206675225,0.49422336328626443,0.11007702182284981,0.23940949935815148,0.09403080872913992,Low,0.024705882352941175,0.4159806295399516,0.025994865211810013,Other,80.7,141.23,7,37,0.247,0.07200000000000001
6067008801,4609,76875,0.4627901931004556,0.4330657409416359,0.09503146018659145,0.1783467129529182,0.18550661748752442,Low,0.14775846294602013,0.32538569424964936,0.032111087003688435,Other,81.2,453.25,12,53,0.273,0.1451
6067008905,4635,41450,0.49039913700107873,0.48759439050701187,0.1121898597626753,0.05458468176914779,0.24897518878101402,Low,0.13948497854077252,0.17433987813134733,0.12470334412081985,Rancho Cordova,78.7,7141.22,5,20,0.215,0.2145
6067008907,4925,43694,0.48913705583756345,0.5843654822335025,0.09827411167512691,0.05847715736040609,0.19939086294416244,Low,0.09950522264980759,0.2226537216828479,0.13319796954314722,Rancho Cordova,77.1,8118.11,5,21,0.251,0.207
6067008908,4454,48250,0.512348450830714,0.6627750336775932,0.0345756623259991,0.02177817691962281,0.2669510552312528,Low,0.11158021712907117,0.13272670222780045,0.2067804220925011,Rancho Cordova,76.5,5644.74,4,13,0.217,0.1979
6067008909,2287,81667,0.4739833843463052,0.5920419763882816,0.07302142544818539,0.10100568430257979,0.2055094009619589,Low,0.0106951871657754,0.2647058823529412,0.14429383471797114,Other,80,2598.89,9,20,0.255,0.0434
6067008910,3725,50957,0.5036241610738255,0.6029530201342281,0.052080536912751677,0.08456375838926175,0.1610738255033557,Low,0.1531413612565445,0.18708053691275167,0.13476510067114095,Rancho Cordova,76.5,5388.78,5,20,0.19699999999999998,0.16570000000000001
6067008911,2075,38750,0.5310843373493976,0.36481927710843376,0.041927710843373496,0.042891566265060244,0.43710843373493974,Low,0.09114927344782034,0.13744075829383887,0.09493975903614457,Rancho Cordova,80.2,10863.24,3,17,0.188,0.1572
6067008912,2890,78750,0.504152249134948,0.642560553633218,0.08062283737024221,0.09100346020761246,0.15432525951557094,Low,0.028671328671328673,0.2685409597673291,0.10484429065743944,Other,80.9,4560.22,4,28,0.23800000000000002,0.17420000000000002
6067008913,3943,55038,0.5031701749936597,0.6675120466649759,0.0933299518133401,0.05579507988840984,0.12427085975145828,Low,0.06978233034571063,0.20738745671412082,0.12325640375348719,Rancho Cordova,77.8,2571.14,8,26,0.239,0.13019999999999998
6067009004,3878,63578,0.48246518824136153,0.4736977823620423,0.13692625064466218,0.12893243940175347,0.15368746776689016,Low,0.12112869924294563,0.1513353115727003,0.09308922124806601,Rancho Cordova,75.8,7272.14,2,19,0.28600000000000003,0.1368
6067009005,3112,49390,0.46561696658097684,0.6394601542416453,0.10122107969151671,0.04948586118251928,0.1339974293059126,Low,0.09024211298606016,0.28898854010961633,0.1147172236503856,Other,78.3,521.11,3,33,0.251,0.1674
6067009006,4775,37333,0.5047120418848168,0.5438743455497382,0.12858638743455497,0.08418848167539267,0.16858638743455498,Low,0.18660508083140878,0.15135135135135136,0.08649214659685864,Other,77.6,4397.6,4,13,0.245,0.2165
6067009007,3122,37724,0.5166559897501601,0.39141575912876364,0.22453555413196669,0.07399103139013453,0.29404228058936577,Low,0.16498316498316498,0.13801452784503632,0.030429212043561818,Rancho Cordova,74.5,7316.08,4,14,0.22399999999999998,0.2134
6067009008,4856,40208,0.5193574958813838,0.4540774299835255,0.052100494233937394,0.026771004942339374,0.3974464579901153,Low,0.12394645513138325,0.0816847479259732,0.08463756177924217,Rancho Cordova,76,8011,4,11,0.243,0.2206
6067009010,4493,45119,0.5132428221678166,0.39394613843756954,0.14734030714444693,0.2247941241931894,0.17827732027598486,Low,0.08871365204534254,0.26580350342726583,0.038059203204985535,Rancho Cordova,81.3,2653.13,7,28,0.275,0.1266
6067009011,4362,90423,0.494268684089867,0.5749656121045392,0.00871160018340211,0.2845025217790005,0.10041265474552957,Low,0.06859592711682744,0.37674594186485466,0.04287024300779459,Other,78.2,1950.96,9,29,0.28600000000000003,0.0466
6067009103,3211,54712,0.4796013702896294,0.48863282466521335,0.19246340703830583,0.08875739644970414,0.15851759576455932,Low,0.0784313725490196,0.2596059113300493,0.09872313920896916,Other,75.9,4779.58,4,21,0.276,0.1231
6067009105,3471,40106,0.522327859406511,0.3926822241428983,0.24747911264765196,0.03428406799193316,0.2690867185249208,Mid,0.24083769633507854,0.19715099715099715,0.07202535292422933,Other,75.5,7998.2,5,7,0.254,0.1528
6067009106,3985,54213,0.504642409033877,0.7525721455457968,0.05897114178168131,0.025846925972396486,0.13074027603513175,Low,0.09904952476238119,0.43306814251124176,0.11468005018820578,Other,79.9,6795.06,7,14,0.20199999999999999,0.09390000000000001
6067009107,3238,65861,0.4925880172946263,0.6053119209388511,0.04879555281037678,0.13804817788758492,0.14206300185299567,Low,0.04266467065868264,0.3620535714285714,0.14793082149474984,Other,81.1,4067.97,7,17,0.192,0.0889
6067009108,3526,58350,0.46369824163357914,0.6208167895632445,0.039421440726035165,0.11826432217810551,0.1781055019852524,Low,0.19418132611637348,0.21080858085808582,0.14719228587634714,Other,81.4,6366.03,5,18,0.22,0.1131
6067009109,4835,76328,0.5098241985522234,0.584488107549121,0.056463288521199584,0.07321613236814892,0.1894519131334023,Low,0.038461538461538464,0.2746177370030581,0.12016546018614271,Other,77,7139.15,3,20,0.233,0.1072
6067009110,1353,32639,0.4109386548410939,0.23059866962305986,0.5011086474501109,0.04582409460458241,0.14855875831485588,Mid,0.11275415896487985,0.23203026481715006,0.024390243902439025,Other,75.3,6335.12,2,11,0.363,0.3333
